naslov,opis,type,stevilo_epizod,ocena,start_date,end_date,stevilo_glasov,rating
.hack//Roots,"After the termination of the incredibly popular virtual reality MMORPG &quot;The World,&quot; a new version of the game—The World R:2—is brought online. On his first day in the game, newcomer Haseo thinks he ha...<a href=""https://myanimelist.net/anime/873/hack__Roots"">read more.</a>",TV,26,6.99,04-06-06,09-28-06,"62,036",PG-13
.hack//Sign,"A young wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, the C...<a href=""https://myanimelist.net/anime/48/hack__Sign"">read more.</a>",TV,26,7.07,04-04-02,09-26-02,"142,492",PG-13
.hack//Tasogare no Udewa Densetsu,"Winning the legendary characters &quot;Kite&quot; and &quot;Black Rose&quot; from an event held by the creators of the MMORPG &quot;The World,&quot; Shugo and his twin sister Rena steps into &quot;The World.&quot; Together they completed ev...<a href=""https://myanimelist.net/anime/298/hack__Tasogare_no_Udewa_Densetsu"">read more.</a>",TV,12,6.67,01-09-03,03-27-03,"56,587",PG-13
.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,"It&#039;s a short story about the characters from .hack// Legend of the Twilight meeting offline. It&#039;s more to hear than to see. It shows only backgrounds from the real world with the heads of the charater...<a href=""https://myanimelist.net/anime/1994/hack__Tasogare_no_Udewa_Densetsu__Offline_de_Aimashou"">read more.</a>",Special,1,6.25,10-24-03,10-24-03,"10,310",PG
.hack//The Movie: Sekai no Mukou ni,"In 2024, the computer network prevails throughout daily life. Sora Yuuki is a 14-year-old girl. One day, she is invited to an online game &quot;The World&quot;. After an accident in the game, the real world beg...<a href=""https://myanimelist.net/anime/11375/hack__The_Movie__Sekai_no_Mukou_ni"">read more.</a>",Movie,1,7.21,01-21-12,01-21-12,"14,903",PG-13
.hack//Unison,"Somewhere in the MMORPG called &quot;The World,&quot; a group is gathered at a pub, awaiting the start of an event. There, old friends and acquaintances are reunited, including those who rarely log on. Some are...<a href=""https://myanimelist.net/anime/1487/hack__Unison"">read more.</a>",Special,1,6.76,10-24-03,10-24-03,"19,929",PG-13
.hack//Versus: The Thanatos Report,"Bundled along with a free game, .hack//Versus, on the .hack//Sekai no Mukou ni Blu-ray disc, is a special called &quot;The Thanatos Report&quot;. This special connects the events of the game with the events of...<a href=""https://myanimelist.net/anime/15219/hack__Versus__The_Thanatos_Report"">read more.</a>",Special,1,6.43,06-28-12,06-28-12,"5,918",PG-13
0-sen Hayato,The adventures of a zero fighter pilot during World War II. (Source: AniDB),TV,38,6.41,01-21-64,10-27-64,449,PG-13
0-sen Hayato Pilot,The pilot episode of 0-sen Hayato released only on VHS and Betamax. Chronologically it is considered the 1st episode of the franchise.,OVA,1,6.01,??-??-85,??-??-85,220,PG-13
001,Short animation by Masaki Okuda.,ONA,1,3.25,02-07-13,02-07-13,"5,520",G
